Frame	Center of mass	 	 	Center of mass projection to ground	 	 	Hip	 	 	LowerSpine	 	 	MiddleSpine	 	 	Chest	 	 	Neck	 	 	Head	 	 	LEye	 	 	REye	 	 	EffectorHead	 	 	RClavicle	 	 	RShoulder	 	 	RForearm	 	 	RHand	 	 	LClavicle	 	 	LShoulder	 	 	LForearm	 	 	LHand	 	 	RThigh	 	 	RShin	 	 	RFoot	 	 	RToe	 	 	EffectorRToe	 	 	LThigh	 	 	LShin	 	 	LFoot	 	 	LToe	 	 	EffectorLToe	 	 
 	Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 
 	x_Center_of_mass	y_Center_of_mass	z_Center_of_mass	x_Center_of_mass_projection_to_ground	y_Center_of_mass_projection_to_ground	z_Center_of_mass_projection_to_ground	x_Hip	y_Hip	z_Hip	x_LowerSpine	y_LowerSpine	z_LowerSpine	x_MiddleSpine	y_MiddleSpine	z_MiddleSpine	x_Chest	y_Chest	z_Chest	x_Neck	y_Neck	z_Neck	x_Head	y_Head	z_Head	x_LEye	y_LEye	z_LEye	x_REye	y_REye	z_REye	x_EffectorHead	y_EffectorHead	z_EffectorHead	x_RClavicle	y_RClavicle	z_RClavicle	x_RShoulder	y_RShoulder	z_RShoulder	x_RForearm	y_RForearm	z_RForearm	x_RHand	y_RHand	z_RHand	x_LClavicle	y_LClavicle	z_LClavicle	x_LShoulder	y_LShoulder	z_LShoulder	x_LForearm	y_LForearm	z_LForearm	x_LHand	y_LHand	z_LHand	x_RThigh	y_RThigh	z_RThigh	x_RShin	y_RShin	z_RShin	x_RFoot	y_RFoot	z_RFoot	x_RToe	y_RToe	z_RToe	x_EffectorRToe	y_EffectorRToe	z_EffectorRToe	x_LThigh	y_LThigh	z_LThigh	x_LShin	y_LShin	z_LShin	x_LFoot	y_LFoot	z_LFoot	x_LToe	y_LToe	z_LToe	x_EffectorLToe	y_EffectorLToe	z_EffectorLToe
110	0	0	0	0	0	0	0	0	0	0.0540851	10.5711	0.361517	0.331098	7.09834	4.66593	-0.135849	10.6062	1.81796	-2.32498	23.3799	-2.92784	-1.34516	13.6048	2.23982	2.7064	10.7635	10.1781	-4.7284	10.026	10.1928	-2.02644	20.3996	-1.50614	-4.69017	23.1794	5.43677	-15.8482	-1.29903	-5.3282	-14.6227	-25.7788	1.14227	3.47596	-20.4575	13.4741	0.0662174	23.6512	5.42737	15.8139	1.53446	-5.3581	16.7101	-24.316	3.03008	-3.01684	-19.7474	14.5974	-9.82366	4.07036	2.07779	-8.20241	1.62086	42.4771	16.7154	-39.0466	-1.56955	0.518799	-5.24903	9.45661	-0.887807	-0.643805	6.46099	10.0353	4.01428	0.754443	1.87366	5.07595	42.953	-3.42449	-42.2984	2.37178	-0.0241548	-4.16437	9.99537	0.240263	0.325356	6.5409
111	0	0	0	0	0	0	0	0	0	0.388067	10.5682	0.209016	0.547172	7.15122	4.56373	0.182689	10.6293	1.67363	-2.45517	23.3976	-2.66916	-1.37711	13.5761	2.38982	2.77423	10.6737	10.2541	-4.6568	9.90415	10.3437	-2.12839	20.4046	-1.28057	-4.72644	23.1041	5.7187	-15.9027	-1.27652	-5.16868	-15.0117	-25.5745	-0.51707	3.11344	-20.0938	14.0957	0.0275337	23.5964	5.66136	15.7422	1.68895	-5.52035	17.6183	-23.7892	1.82833	-3.08037	-20.121	14.0642	-9.69363	4.40874	1.99645	-7.48931	1.02564	42.6271	16.8022	-39.0066	-1.6359	0.633279	-5.20518	9.47385	-0.817585	-0.617237	6.47284	10.1559	3.70538	0.719258	2.46394	5.00029	42.9321	-3.3445	-42.2971	2.50512	0.12001	-4.1387	10.0053	0.331376	0.342402	6.53606
112	0	0	0	0	0	0	0	0	0	0.619226	10.5589	0.0942051	0.692703	7.18737	4.48652	0.398293	10.6397	1.56642	-2.53217	23.4092	-2.48879	-1.3984	13.5552	2.49403	2.80717	10.6083	10.3128	-4.62115	9.81839	10.441	-2.18932	20.4074	-1.12339	-4.7528	23.0504	5.91008	-15.9317	-1.24425	-5.08657	-15.1212	-25.3817	-2.6064	2.31636	-19.8881	14.5342	-0.000552228	23.5557	5.82808	15.6997	1.80349	-5.60425	18.4755	-23.2007	0.238222	-3.22869	-21.0128	12.6564	-9.59947	4.64172	1.92195	-6.91155	0.515711	42.7338	16.6394	-39.0781	-1.59484	0.675267	-5.15139	9.50032	-0.777129	-0.575519	6.48167	10.233	3.48975	0.705889	2.82641	5.02759	42.9065	-3.40387	-42.2911	2.52616	0.190546	-4.13432	10.006	0.383531	0.344751	6.53307
113	0	0	0	0	0	0	0	0	0	0.735163	10.5518	0.0195235	0.755481	7.21202	4.43655	0.497224	10.6453	1.49868	-2.55103	23.413	-2.43368	-1.41023	13.548	2.52594	2.79595	10.5861	10.3387	-4.63174	9.78968	10.4632	-2.20601	20.4082	-1.07535	-4.77332	23.0323	5.96378	-15.9314	-1.20761	-5.09641	-15.0628	-25.0817	-4.86787	1.3367	-20.0897	14.3793	-0.0214744	23.5418	5.88411	15.6946	1.8633	-5.599	19.186	-22.5419	-1.85302	-3.49369	-22.127	10.5041	-9.55469	4.7609	1.85227	-6.59184	0.214171	42.7868	16.358	-39.2028	-1.43576	0.655432	-5.09846	9.53021	-0.769135	-0.530479	6.48645	10.2681	3.38217	0.718546	2.98887	5.24043	42.8701	-3.66286	-42.2709	2.50353	0.203814	-4.13829	10.0041	0.409913	0.340596	6.53169
114	0	0	0	0	0	0	0	0	0	0.806856	10.5465	-0.0354171	0.771509	7.23226	4.40069	0.546959	10.6497	1.44907	-2.52055	23.4148	-2.44813	-1.41699	13.5488	2.51792	2.73874	10.5837	10.3564	-4.69011	9.79217	10.4349	-2.18593	20.4097	-1.08785	-4.79511	23.0351	5.93538	-15.902	-1.15988	-5.19824	-15.1105	-24.4885	-7.1874	0.531521	-20.8494	13.3103	-0.0425287	23.5415	5.8852	15.7254	1.88603	-5.50422	19.5875	-21.8137	-4.49034	-3.66968	-23.0191	8.29443	-9.53558	4.83609	1.75335	-6.46228	0.0046134	42.8071	16.1903	-39.2814	-1.16288	0.620402	-5.04078	9.56318	-0.780299	-0.486082	6.4886	10.2853	3.31669	0.776058	3.05731	5.55809	42.8252	-3.97999	-42.2426	2.49677	0.196306	-4.14125	10.0031	0.425434	0.33674	6.53089
115	0	0	0	0	0	0	0	0	0	0.872217	10.5411	-0.0745595	0.770477	7.24744	4.37584	0.587612	10.6524	1.41321	-2.43989	23.4194	-2.48537	-1.4088	13.5536	2.49658	2.66289	10.5829	10.377	-4.76826	9.80936	10.3832	-2.12585	20.4143	-1.12026	-4.79724	23.05	5.8757	-15.8547	-1.08867	-5.35594	-15.3586	-23.5222	-9.51288	0.153884	-21.974	11.3695	-0.0431895	23.5449	5.87172	15.7784	1.87658	-5.35386	19.5897	-20.9546	-7.53816	-3.5663	-23.6245	6.42723	-9.52322	4.90233	1.6324	-6.33703	-0.235766	42.8252	16.2022	-39.2852	-0.816906	0.601279	-4.9721	9.60029	-0.793846	-0.439806	6.49025	10.297	3.25718	0.867891	3.11075	5.84432	42.7832	-4.18841	-42.2201	2.53599	0.192951	-4.1578	9.99627	0.436737	0.324582	6.53076
116	0	0	0	0	0	0	0	0	0	0.928045	10.5362	-0.0996709	0.762394	7.25777	4.3601	0.62119	10.6536	1.38931	-2.35007	23.4253	-2.51584	-1.3969	13.5581	2.47878	2.58611	10.5784	10.401	-4.84682	9.82525	10.3317	-2.05821	20.4198	-1.14686	-4.79348	23.0647	5.82086	-15.8034	-1.01255	-5.51983	-15.6745	-22.2925	-11.706	0.0939995	-23.063	8.95743	-0.0382965	23.5465	5.8652	15.8328	1.86179	-5.19589	19.2806	-19.8427	-10.6864	-3.09353	-24.1015	4.65743	-9.51407	4.95709	1.51627	-6.10658	-0.489596	42.8565	16.2152	-39.2858	-0.449395	0.598222	-4.89725	9.63887	-0.796416	-0.389504	6.49315	10.3042	3.20651	0.96547	3.17378	6.03961	42.7514	-4.2764	-42.2073	2.60096	0.189608	-4.20505	9.97654	0.441773	0.29293	6.53192
117	0	0	0	0	0	0	0	0	0	0.968924	10.5322	-0.121629	0.755722	7.26705	4.34579	0.638538	10.6548	1.3723	-2.30389	23.4285	-2.52865	-1.39975	13.5592	2.47098	2.52015	10.5733	10.4223	-4.91291	9.82885	10.2969	-2.02582	20.4224	-1.15813	-4.81031	23.0691	5.78938	-15.7636	-0.961316	-5.64134	-15.9035	-20.9681	-13.6781	0.024426	-23.9259	6.30047	-0.0550311	23.5454	5.86956	15.8695	1.87237	-5.07885	18.7966	-18.4433	-13.6458	-2.26533	-24.4973	2.62597	-9.50675	4.99732	1.42753	-5.77722	-0.675368	42.8996	16.0552	-39.3539	-0.0811219	0.607844	-4.82291	9.67569	-0.778979	-0.334999	6.4983	10.3084	3.17017	1.03767	3.24806	6.14284	42.7312	-4.30884	-42.2015	2.64134	0.177208	-4.28682	9.94191	0.439258	0.238704	6.5343
118	0	0	0	0	0	0	0	0	0	1.00711	10.5283	-0.148404	0.767248	7.2767	4.32757	0.669145	10.6563	1.3459	-2.23811	23.431	-2.56451	-1.3741	13.5657	2.45	2.5133	10.5799	10.4173	-4.92114	9.85357	10.2694	-1.97178	20.4258	-1.18945	-4.77166	23.088	5.746	-15.7489	-0.900453	-5.69246	-16.0494	-19.5855	-15.4434	-0.105447	-24.5039	3.41948	-0.0154962	23.5526	5.84062	15.8864	1.85258	-5.03324	18.1924	-16.9479	-16.1703	-1.44355	-24.6935	0.538731	-9.49348	5.03537	1.38136	-5.35915	-0.764224	42.9524	15.7131	-39.4907	0.296354	0.632446	-4.74565	9.71224	-0.739528	-0.273897	6.50578	10.3162	3.13622	1.06321	3.33141	6.13979	42.7252	-4.29285	-42.2023	2.6544	0.159283	-4.36745	9.90707	0.431357	0.185194	6.53657
119	0	0	0	0	0	0	0	0	0	1.05877	10.5228	-0.177437	0.805589	7.2845	4.30744	0.715912	10.6564	1.32047	-2.13565	23.4379	-2.58889	-1.31162	13.5744	2.43594	2.56882	10.5802	10.4034	-4.8689	9.88684	10.2623	-1.88162	20.4331	-1.21068	-4.66402	23.1154	5.72401	-15.7578	-0.810862	-5.68113	-16.1557	-18.1079	-17.052	0.0131309	-24.7347	0.584066	0.0942345	23.559	5.81432	15.8872	1.79885	-5.05005	17.5472	-15.584	-18.1358	-1.08218	-24.7013	-0.905645	-9.46778	5.08572	1.37327	-4.88082	-0.79073	43.0089	15.2652	-39.6617	0.654769	0.664107	-4.66036	9.75136	-0.687584	-0.204699	6.51401	10.3321	3.0883	1.04873	3.43467	5.98831	42.7385	-4.2524	-42.2031	2.7059	0.151995	-4.3843	9.89974	0.428641	0.173848	6.53706
