Frame	Center of mass	 	 	Center of mass projection to ground	 	 	Hip	 	 	LowerSpine	 	 	MiddleSpine	 	 	Chest	 	 	Neck	 	 	Head	 	 	LEye	 	 	REye	 	 	EffectorHead	 	 	RClavicle	 	 	RShoulder	 	 	RForearm	 	 	RHand	 	 	LClavicle	 	 	LShoulder	 	 	LForearm	 	 	LHand	 	 	RThigh	 	 	RShin	 	 	RFoot	 	 	RToe	 	 	EffectorRToe	 	 	LThigh	 	 	LShin	 	 	LFoot	 	 	LToe	 	 	EffectorLToe	 	 
 	Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 
 	x_Center_of_mass	y_Center_of_mass	z_Center_of_mass	x_Center_of_mass_projection_to_ground	y_Center_of_mass_projection_to_ground	z_Center_of_mass_projection_to_ground	x_Hip	y_Hip	z_Hip	x_LowerSpine	y_LowerSpine	z_LowerSpine	x_MiddleSpine	y_MiddleSpine	z_MiddleSpine	x_Chest	y_Chest	z_Chest	x_Neck	y_Neck	z_Neck	x_Head	y_Head	z_Head	x_LEye	y_LEye	z_LEye	x_REye	y_REye	z_REye	x_EffectorHead	y_EffectorHead	z_EffectorHead	x_RClavicle	y_RClavicle	z_RClavicle	x_RShoulder	y_RShoulder	z_RShoulder	x_RForearm	y_RForearm	z_RForearm	x_RHand	y_RHand	z_RHand	x_LClavicle	y_LClavicle	z_LClavicle	x_LShoulder	y_LShoulder	z_LShoulder	x_LForearm	y_LForearm	z_LForearm	x_LHand	y_LHand	z_LHand	x_RThigh	y_RThigh	z_RThigh	x_RShin	y_RShin	z_RShin	x_RFoot	y_RFoot	z_RFoot	x_RToe	y_RToe	z_RToe	x_EffectorRToe	y_EffectorRToe	z_EffectorRToe	x_LThigh	y_LThigh	z_LThigh	x_LShin	y_LShin	z_LShin	x_LFoot	y_LFoot	z_LFoot	x_LToe	y_LToe	z_LToe	x_EffectorLToe	y_EffectorLToe	z_EffectorLToe
110	0	0	0	0	-65.246	0	0.827185	-21.4396	-14.8694	0.88127	-10.8685	-14.5079	1.21237	-3.77013	-9.84193	1.07652	6.83611	-8.02397	-1.24846	30.216	-10.9518	-2.59362	43.8209	-8.71199	0.112782	54.5844	1.46608	-7.32202	53.8469	1.48076	-4.62006	64.2204	-10.2181	-3.61365	30.0155	-2.58721	-19.4618	28.7165	-7.91541	-34.0845	2.93766	-6.77314	-30.6085	-17.5199	6.70096	1.14274	30.4873	-2.5966	16.9566	32.0218	-7.9547	33.6667	7.7058	-4.92462	30.6499	-12.0416	9.67273	-8.99647	-17.3692	-12.7916	-17.1989	-15.7483	29.6855	-0.48352	-54.795	28.116	0.0352795	-60.044	37.5726	-0.852528	-60.6878	44.0336	10.8624	-17.4253	-14.1149	12.7361	-12.3493	28.8381	9.31161	-54.6477	31.2099	9.28745	-58.8121	41.2052	9.52772	-58.4868	47.7461
111	0	0	0	0	-65.1765	0	0.204388	-21.4442	-14.6611	0.592456	-10.876	-14.4521	1.13963	-3.72479	-9.88839	1.32232	6.90447	-8.21476	-1.13285	30.302	-10.8839	-2.50996	43.8781	-8.4941	0.264265	54.5518	1.75999	-7.16676	53.7823	1.84961	-4.63835	64.2827	-9.77467	-3.40412	30.0085	-2.49606	-19.3068	28.732	-7.66474	-34.3186	3.1575	-8.18181	-31.2051	-16.9363	5.91391	1.34985	30.5008	-2.5534	17.092	32.1898	-8.07374	34.7103	8.40056	-6.24542	31.6299	-11.7205	7.81874	-9.48924	-17.0355	-12.6647	-16.9786	-16.0099	29.9624	-0.176357	-55.0165	28.3265	0.456922	-60.2217	37.8004	-0.360664	-60.8389	44.2732	10.3603	-17.7389	-13.9419	12.8243	-12.7386	28.9902	9.47975	-55.0357	31.4953	9.59976	-59.1744	41.5006	9.93113	-58.832	48.0367
112	0	0	0	0	-65.1071	0	-0.219265	-21.4357	-14.431	0.399961	-10.8769	-14.3368	1.09266	-3.6895	-9.85031	1.49096	6.95021	-8.28389	-1.04122	30.3595	-10.7727	-2.43961	43.9146	-8.27865	0.36756	54.5229	2.03417	-7.06077	53.733	2.16234	-4.62894	64.322	-9.40204	-3.26184	30.0006	-2.37381	-19.1936	28.7564	-7.46038	-34.3147	3.37467	-10.0668	-31.9984	-16.5134	4.46743	1.49041	30.506	-2.45581	17.1902	32.3094	-8.06006	35.6657	9.10876	-7.82183	32.437	-11.904	4.83455	-9.81874	-16.794	-12.5091	-16.7303	-16.2783	30.2247	-0.0908625	-55.3564	28.6299	0.584404	-60.5077	38.1302	-0.192725	-61.0833	44.6119	10.0137	-17.946	-13.7251	12.8401	-12.9184	29.1814	9.43623	-55.2095	31.7076	9.62677	-59.3438	41.7136	10.0103	-58.9991	48.2467
113	0	0	0	0	-65.0608	0	-0.410152	-21.4573	-14.1664	0.325012	-10.9055	-14.1469	1.08049	-3.69345	-9.71036	1.57772	6.95185	-8.21168	-0.973313	30.3648	-10.6454	-2.38355	43.9129	-8.11942	0.412405	54.4989	2.21927	-7.01529	53.7026	2.34381	-4.58955	64.3211	-9.19477	-3.1956	29.9842	-2.2479	-19.127	28.7766	-7.34431	-34.1898	3.69489	-12.2122	-32.8531	-16.3948	2.16708	1.55624	30.4937	-2.32757	17.2509	32.357	-7.92658	36.4368	9.81501	-9.7796	32.9432	-12.312	0.724471	-9.96485	-16.6964	-12.3142	-16.5567	-16.4822	30.4727	-0.198658	-55.685	29.0369	0.456774	-60.7835	38.5671	-0.312361	-61.314	45.0536	9.85799	-18.0751	-13.4479	12.8469	-12.8347	29.4222	9.18399	-55.1055	31.9257	9.38781	-59.2438	41.9298	9.79772	-58.9032	48.4615
114	0	0	0	0	-65.129	0	-0.488749	-21.5081	-13.8702	0.318107	-10.9616	-13.9056	1.08962	-3.72933	-9.50492	1.63658	6.9204	-8.05585	-0.883978	30.3352	-10.504	-2.30097	43.884	-7.98607	0.43777	54.4677	2.37035	-6.99108	53.6762	2.4488	-4.48689	64.2937	-9.07392	-3.15853	29.9556	-2.12048	-19.0606	28.7957	-7.31872	-34.171	4.30714	-14.5061	-33.6395	-16.5423	-1.19587	1.59405	30.4619	-2.17066	17.3195	32.3479	-7.67488	36.907	10.5342	-12.1652	33.2373	-12.4849	-3.87079	-10.0243	-16.672	-12.1169	-16.4866	-16.6674	30.6903	-0.296357	-55.9488	29.5274	0.324046	-60.9896	39.0906	-0.456254	-61.4757	45.5792	9.79655	-18.1914	-13.0941	12.8539	-12.6334	29.7311	8.87386	-54.8759	32.2278	9.07017	-59.0172	42.2309	9.4956	-58.6804	48.7618
115	0	0	0	0	-65.2876	0	-0.558445	-21.5677	-13.5709	0.313772	-11.0266	-13.6455	1.08425	-3.77916	-9.26965	1.67186	6.87323	-7.85644	-0.768033	30.2926	-10.3418	-2.17683	43.8462	-7.84522	0.48606	54.4291	2.53175	-6.94509	53.6556	2.53796	-4.30268	64.2605	-8.96548	-3.12538	29.9232	-1.98074	-18.98	28.8346	-7.33668	-34.3386	5.31238	-16.8496	-34.1847	-16.6616	-5.48002	1.62867	30.4181	-1.98472	17.407	32.2947	-7.33858	36.9968	11.3401	-14.8767	33.4305	-12.2844	-8.44951	-10.0817	-16.6654	-11.9385	-16.4187	-16.9012	30.8867	-0.216493	-56.1864	30.0698	0.384786	-61.1585	39.6701	-0.40906	-61.5983	46.1603	9.73852	-18.3105	-12.703	12.8493	-12.4662	30.0802	8.66087	-54.6863	32.6162	8.85382	-58.8441	42.6124	9.29056	-58.5195	49.1432
116	0	0	0	0	-65.398	0	-0.630254	-21.6315	-13.2945	0.297791	-11.0953	-13.3942	1.06019	-3.83756	-9.03406	1.68137	6.81605	-7.64474	-0.668693	30.2414	-10.1606	-2.0656	43.7995	-7.68181	0.520509	54.3779	2.71916	-6.91241	53.6248	2.64985	-4.12381	64.2193	-8.82866	-3.11211	29.8807	-1.82388	-18.9155	28.8682	-7.34372	-34.59	6.57574	-19.0497	-34.496	-16.4872	-10.0923	1.64308	30.3626	-1.77954	17.4759	32.2243	-6.97542	36.7565	12.3817	-17.6619	33.663	-11.7199	-13.0044	-10.1443	-16.6744	-11.7782	-16.2509	-17.164	31.0783	-0.0357132	-56.4498	30.6289	0.562509	-61.347	40.2678	-0.233907	-61.7365	46.7609	9.67393	-18.425	-12.329	12.8477	-12.3854	30.4224	8.57131	-54.5927	33.0234	8.76092	-58.7977	42.9999	9.20269	-58.5048	49.5318
117	0	0	0	0	-65.4426	0	-0.683595	-21.7047	-13.0395	0.285329	-11.1724	-13.1611	1.04105	-3.90539	-8.81534	1.67959	6.74941	-7.44304	-0.624305	30.178	-9.97168	-2.02405	43.7372	-7.50071	0.496099	54.3105	2.92156	-6.93696	53.566	2.79623	-4.04987	64.1596	-8.65884	-3.13072	29.8185	-1.65366	-18.8944	28.8572	-7.295	-34.7979	7.88912	-20.9731	-34.7735	-16.0368	-14.6727	1.62456	30.2948	-1.57348	17.4941	32.1672	-6.65233	36.2907	13.7239	-20.2981	34.0254	-10.7734	-17.6721	-10.1903	-16.7074	-11.612	-15.9676	-17.3827	31.2877	0.0876358	-56.7366	31.2065	0.69548	-61.5595	40.8822	-0.083499	-61.8945	47.3805	9.62481	-18.5345	-12.0018	12.8729	-12.3917	30.7293	8.56403	-54.5932	33.3707	8.74124	-58.88	43.3126	9.1805	-58.6413	49.8469
118	0	0	0	0	-65.5259	0	-0.774697	-21.7889	-12.7849	0.23241	-11.2606	-12.9333	0.999658	-3.98385	-8.60574	1.6688	6.67244	-7.25984	-0.569307	30.1035	-9.82435	-1.94341	43.6691	-7.37435	0.569892	54.249	3.04292	-6.86455	53.5227	2.89501	-3.91519	64.095	-8.5638	-3.10285	29.7604	-1.51385	-18.8517	28.86	-7.20631	-34.9011	9.27451	-22.6498	-35.0066	-15.2294	-19.2303	1.65331	30.2251	-1.41922	17.5397	32.0777	-6.45246	35.732	15.1297	-22.6228	34.2885	-9.56381	-22.0841	-10.2682	-16.7535	-11.4035	-15.6273	-17.5177	31.5488	0.0857606	-57.0085	31.8452	0.718206	-61.7541	41.5574	-0.0213216	-62.028	48.0632	9.54149	-18.6527	-11.7217	12.8729	-12.5129	31.0035	8.58005	-54.7152	33.6579	8.73933	-59.0826	43.565	9.17069	-58.8974	50.1015
119	0	0	0	0	-65.6726	0	-0.926381	-21.8681	-12.5701	0.13239	-11.3453	-12.7476	0.937979	-4.0608	-8.44014	1.65389	6.59563	-7.11967	-0.481758	30.0335	-9.70856	-1.79338	43.6079	-7.27262	0.775447	54.1881	3.13082	-6.66228	53.4948	2.98966	-3.675	64.041	-8.4833	-3.01013	29.711	-1.39566	-18.7679	28.9002	-7.07679	-34.9236	10.7923	-24.1288	-34.9105	-13.9424	-23.5447	1.74813	30.1546	-1.30535	17.6353	31.9534	-6.3554	35.1825	16.3694	-24.4912	34.1004	-8.33187	-25.3969	-10.3942	-16.7824	-11.1969	-15.275	-17.5731	31.812	-0.00979975	-57.2348	32.4668	0.654307	-61.8952	42.2181	-0.0332772	-62.0999	48.7321	9.40573	-18.7798	-11.5214	12.8404	-12.7915	31.2171	8.588	-54.9946	33.923	8.74	-59.3789	43.8227	9.16864	-59.2051	50.3598
